indice_tiempo,oferta_global_pbi,indice_precios_implicito_pbi_mercado,oferta_global_pbi_precios_2011_II
2004-01-01,460369.442233,95.4007422539,1408728.36194
2004-04-01,514395.681772,99.0480055142,1516086.92556
2004-07-01,481151.979944,101.519354165,1383585.34766
2004-10-01,484543.676877,103.871723454,1361783.65164
2005-01-01,493602.530578,103.464507448,1392702.98389
2005-04-01,581668.24988,104.14386138,1630475.2308
2005-07-01,514697.789505,114.673031666,1310278.24965
2005-10-01,522255.200051,119.378022408,1277117.67612
2006-01-01,532348.212017,120.891244689,1285504.12272
2006-04-01,614076.392609,118.550264434,1512141.37926
2006-07-01,562978.965627,129.542938997,1268676.64792
2006-10-01,572794.046631,133.165843214,1255677.68159
2007-01-01,576846.885699,134.244945589,1254397.36254
2007-04-01,674620.563006,134.053190443,1469112.12553
2007-07-01,610425.694015,149.748605992,1189987.88654
2007-10-01,625876.867864,158.989508008,1149192.96368
2008-01-01,616720.357064,167.39464839,1075521.84984
2008-04-01,711405.500455,170.631715697,1217110.43038
2008-07-01,647087.959742,182.926022944,1032667.12114
2008-10-01,613490.821703,190.492142187,940163.804366
2009-01-01,578553.044242,192.256786028,878484.348556
2009-04-01,631197.75186,198.268248619,929361.754392
2009-07-01,610519.854612,207.975995486,856957.143785
2009-10-01,615220.854937,220.767892257,813518.925471
2010-01-01,611607.33659,231.988379649,769624.665754
2010-04-01,733730.773969,229.793681044,932118.602861
2010-07-01,668566.509489,256.195086746,761809.429794
2010-10-01,668190.09772,273.743094466,712573.038647
2011-01-01,662325.585973,285.181063792,677990.128812
2011-04-01,766332.954572,291.925829637,766332.954572
2011-07-01,711417.39193,316.338522128,656515.403057
2011-10-01,703050.456408,332.786664477,616727.19995
2012-01-01,672685.993631,348.685661001,563184.663838
2012-04-01,730838.272593,362.747566159,588151.621019
2012-07-01,703461.65253,384.502487112,534089.202062
2012-10-01,706958.039082,403.15974014,511904.566676
2013-01-01,677085.529173,426.678866199,463249.461122
2013-04-01,776486.602799,436.29998249,519542.756868
2013-07-01,721458.944216,476.332932585,442153.977673
2013-10-01,706597.345023,520.791036271,396078.276696
2014-01-01,671066.046635,583.794826279,335565.687784
2014-04-01,760576.868348,618.297731712,359102.131396
2014-07-01,690879.798252,678.193678631,297386.520457
2014-10-01,686701.470619,729.656832154,274739.970476
2015-01-01,671244.515542,743.819273733,263442.504125
2015-04-01,790292.734398,742.341008809,310782.860448
2015-07-01,717177.913615,848.689627673,246689.426385
2015-10-01,704876.809213,917.880970089,224181.298041
2016-01-01,675105.588557,1021.77080194,192881.572519
2016-04-01,761343.567957,1083.38242773,205149.951694
2016-07-01,690883.980678,1193.79132899,168946.510453
2016-10-01,691512.272687,1273.58179025,158505.951839
2017-01-01,677345.619927,1318.10905395,150013.901699
